,Make
1359,CESSNA
1360,SWEARINGEN
1361,CESSNA
1362,PIPER
1363,CONSOLIDATED AERONAUTICS INC.
1364,BEECH
1365,CESSNA
1366,CESSNA
1367,CESSNA
1368,CESSNA
1369,QUICKIE
1370,CESSNA
1371,CESSNA
1372,BELL
1373,KAMAN
1374,CESSNA
1375,AIR TRACTOR
1376,PIPER
1377,CONTINENTAL MK5A
1378,CESSNA
1379,BELL
1380,CESSNA
1381,ERCOUPE
1382,CONVAIR
1383,CESSNA
1384,BELL
1385,PIPER
1386,CESSNA
1387,ARCTIC
1388,AIR TRACTOR
1389,DOUGLAS
1390,DOUGLAS
1391,BELL
1392,AERO COMMANDER
1393,PIPER
1394,THURSTON
1395,CESSNA
1396,SWANSON
1397,ADAMS
1398,AERONCA
1399,MIGNET
1400,CESSNA
1401,PIPER
1402,STARDUSTER
1403,CESSNA
1404,BELL
1405,PIPER
1406,GRUMMAN
1407,PIPER
1408,CESSNA
1409,CESSNA
1410,PIPER
1411,PIPER
1412,BEECH
1413,CESSNA
1414,STINSON
1415,GRUMMAN
1416,EAGLE
1417,GRUMMAN
1418,GRUMMAN
1419,BELL
1420,CESSNA
1421,CESSNA
1422,CESSNA
1423,LAKE
1424,CESSNA
1425,PIPER
1426,PITTS
1427,PIPER
1428,AERONCA
1429,PIPER
1430,DOUGLAS
1431,PIPER
1432,AIR TRACTOR
1433,PIPER
1434,CESSNA
1436,BEECHCRAFT
1437,CESSNA
1438,CESSNA
1439,BEECH
1440,HARDIE
1441,CESSNA
1442,PIPER
1443,AEROSPATIALE
1444,CESSNA
1445,CESSNA
1446,PIPER
1447,CESSNA
1448,CESSNA
1449,CESSNA
1450,CESSNA
1451,BEECH
1452,CESSNA
1453,SAVAGE
1454,CESSNA
1455,GRUMMAN
1456,PIPER
1457,ENSTROM
1458,PIPER
1459,PIPER
1460,STARKE
1461,MOONEY
1462,PIPER
1463,PIPER
1464,MCCALL
1465,DOUGLAS
1466,PIPER
1467,BEECH
1468,BEECH
1469,CESSNA
1470,BEECH
1471,AERONCA
1472,CESSNA
1473,BELLANCA
1474,PIPER
1475,CESSNA
1476,CESSNA
1477,GRUMMAN
1478,CESSNA
1479,BEECH
1480,CESSNA
1481,WEATHERLY
1482,CESSNA
1483,CESSNA
1484,FOKKER
1485,CESSNA
1486,PIPER
1487,CESSNA
1488,GRUMMAN
1489,CESSNA
1490,PIPER
1491,CESSNA
1492,GRUMMAN
1493,GRUMMAN
1494,CESSNA
1495,PIPER
1496,HUGHES
1497,CESSNA
1498,CESSNA
1499,BEECH
1500,CESSNA
1501,PIPER
1502,CESSNA
1503,CESSNA
1504,BELLANCA
1505,SCHEICHER
1506,CESSNA
1507,CESSNA
1508,BELL
1509,AEROSPATIALE
1510,CESSNA
1511,BENSEN
1512,WING
1513,NORTH AMERICAN
1514,GRUMMAN
1515,CESSNA
1516,AEROSPATIALE
1517,BEECH
1518,AERONCA
1519,GREGG
1520,CESSNA
1521,LEARJET
1522,BELL
1523,BELL
1524,CESSNA
1525,PIPER
1526,CESSNA
1527,CESSNA
1528,PIPER
1529,CESSNA
1530,CESSNA
1531,LUSCOMBE
1532,MCCLARY
1533,VOLMER AIRCRAFT
1534,LAKE
1535,BEECH
1536,CESSNA
1537,PIPER
1538,MIDGET
1539,CESSNA
1540,MOONEY
1541,CHAMPION
1542,CESSNA
1543,NA
1544,CESSNA
1545,CESSNA
1546,BEECH
1547,I.C.A. BRASOV - ROMANIA
1548,BELLANCA
1549,PIPER
1550,CESSNA
1551,BALLOON WORKS
1552,CESSNA
1553,CESSNA
1554,CESSNA
1555,CESSNA
1556,CESSNA
1557,AERONCA
1558,CESSNA
1559,PIPER
1560,PIPER
1561,PIPER
1562,ROBINSON
1563,BEECH
1564,WEATHERLY
1565,CESSNA
1566,BELL
1567,WEATHERLY
1568,PIPER
1569,CESSNA
1570,BEECH
1571,CESSNA
